run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count,split,source,row_pct
struct_top6_l001,coarse6,5,29-37,2,8-14,86,valid,joint_prediction_csv,0.0016266005938983565
struct_top6_l001,coarse6,5,29-37,3,15-21,12,valid,joint_prediction_csv,0.00022696752473000322
struct_top6_l001,coarse6,5,29-37,4,22-28,617,valid,joint_prediction_csv,0.011669913563200998
struct_top6_l001,coarse6,5,29-37,5,29-37,46949,valid,joint_prediction_csv,0.8879915265457434
struct_top6_l001,coarse6,0,1,0,1,33703,test,joint_prediction_csv,0.7464177352556862
struct_top6_l001,coarse6,0,1,1,2-7,5288,test,joint_prediction_csv,0.1171129271587713
struct_top6_l001,coarse6,0,1,2,8-14,194,test,joint_prediction_csv,0.004296503000908024
struct_top6_l001,coarse6,0,1,3,15-21,14,test,joint_prediction_csv,0.0003100569175913007
struct_top6_l001,coarse6,0,1,4,22-28,372,test,joint_prediction_csv,0.00823865523885456
struct_top6_l001,coarse6,0,1,5,29-37,5582,test,joint_prediction_csv,0.1236241224281886
struct_top6_l001,coarse6,1,2-7,0,1,4654,test,joint_prediction_csv,0.08967763069156214
struct_top6_l001,coarse6,1,2-7,1,2-7,35045,test,joint_prediction_csv,0.6752798813033508
struct_top6_l001,coarse6,1,2-7,2,8-14,776,test,joint_prediction_csv,0.014952694760776153
struct_top6_l001,coarse6,1,2-7,3,15-21,50,test,joint_prediction_csv,0.0009634468273695975
struct_top6_l001,coarse6,1,2-7,4,22-28,1750,test,joint_prediction_csv,0.03372063895793591
struct_top6_l001,coarse6,1,2-7,5,29-37,9622,test,joint_prediction_csv,0.18540570745900534
struct_top6_l001,coarse6,2,8-14,0,1,2533,test,joint_prediction_csv,0.13178294573643412
struct_top6_l001,coarse6,2,8-14,1,2-7,5405,test,joint_prediction_csv,0.28120285104833254
struct_top6_l001,coarse6,2,8-14,2,8-14,1139,test,joint_prediction_csv,0.059258103116383125
struct_top6_l001,coarse6,2,8-14,3,15-21,54,test,joint_prediction_csv,0.002809427189012018
